Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,metal,rdkit_smi,pIC50,mw,logp
CHEMBL1951605,,,496.58,0.0,1.62,(R)-11K,CC#CCn1c(N2CCC[C@@H](N)C2)c(C#N)c2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C,IC50,'=',21700.0,nM,4.66,,,UO_0000065,9.39,0.17,3.04,3.65,0,CHEMBL1954401,Inhibition of human ERG by dofetilide binding assay,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL240,HERG,Homo sapiens,SINGLE PROTEIN,CHEMBL1949653,1,Scientific Literature,Bioorg Med Chem Lett,2012.0,,,0,CC#CCn1c(N2CCC[C@@H](N)C2)c(C#N)c2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C,-4.336459733848529,496.5750000000003,1.6240999999999997
CHEMBL3421646,,,523.57,1.0,3.32,56,COc1cc2ncc(F)c(CCC34CCC(NCc5ccc6c(n5)NC(=O)CO6)(CC3)CO4)c2nc1OC,IC50,'=',13.91,nM,7.86,,,UO_0000065,15.01,0.28,4.54,6.73,0,CHEMBL3424851,Inhibition of MK499 binding to human ERG,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL240,HERG,Homo sapiens,SINGLE PROTEIN,CHEMBL3421558,1,Scientific Literature,Bioorg Med Chem Lett,2015.0,,,0,COc1cc2ncc(F)c(CCC34CCC(NCc5ccc6c(n5)NC(=O)CO6)(CC3)CO4)c2nc1OC,-1.1433271299920464,523.5650000000004,3.316200000000002
CHEMBL3787614,,,433.56,0.0,3.9,17,Nc1ncnc2c1c(-c1cccc(OC[C@@H]3CCCO3)c1)cn2[C@H]1C[C@@H](CN2CCC2)C1,IC50,'=',3600.0,nM,5.44,,,UO_0000065,12.56,0.23,1.54,6.94,0,CHEMBL3789410,Inhibition of human ERG by dofetilide binding assay,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL240,HERG,Homo sapiens,SINGLE PROTEIN,CHEMBL3784924,1,Scientific Literature,Bioorg Med Chem Lett,2016.0,,,0,Nc1ncnc2c1c(-c1cccc(OC[C@@H]3CCCO3)c1)cn2[C@H]1C[C@@H](CN2CCC2)C1,-3.556302500767288,433.55600000000027,3.895100000000003
CHEMBL551927,,,423.99,1.0,5.24,10,C[C@@]12CC(c3ccccc3)C[C@@H](C1)N(CCN1CCN(c3cccc(Cl)c3)C1=O)C2,IC50,'=',63.1,nM,7.2,,,UO_0000065,16.98,0.33,1.96,26.88,0,CHEMBL1044431,Displacement of [3H]dofetilide from human ERG,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL240,HERG,Homo sapiens,SINGLE PROTEIN,CHEMBL1155321,1,Scientific Literature,Bioorg Med Chem Lett,2009.0,,,0,C[C@@]12CC(c3ccccc3)C[C@@H](C1)N(CCN1CCN(c3cccc(Cl)c3)C1=O)C2,-1.8000293592441343,423.9880000000001,5.240200000000006
CHEMBL1836212,,,450.5,0.0,2.61,12,CC(C)Oc1ccc(-c2nc(-c3cccc4c3OCCN(C(CO)CO)C4)no2)cc1C#N,IC50,'=',6760.83,nM,5.17,,,UO_0000065,11.48,0.21,2.56,4.14,0,CHEMBL1839209,Inhibition of human ERG,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL240,HERG,Homo sapiens,SINGLE PROTEIN,CHEMBL1833884,1,Scientific Literature,J Med Chem,2011.0,,,0,CC(C)Oc1ccc(-c2nc(-c3cccc4c3OCCN(C(CO)CO)C4)no2)cc1C#N,-3.830000015807418,450.4950000000002,2.61008
CHEMBL2069416,,,411.47,0.0,3.37,18,Cc1nn(-c2ccccc2)nc1C(=O)N[C@@H]1COc2cccc(-c3ccncc3)c2C1,IC50,'=',3981.07,nM,5.4,,,UO_0000065,13.12,0.24,2.03,6.59,0,CHEMBL2072752,Inhibition of human ERG expressed in CHO cells by IonWorks HT assay,B,BAO_0000219,cell-based format,Homo sapiens,,,CHO,,,,,CHEMBL240,HERG,Homo sapiens,SINGLE PROTEIN,CHEMBL2069242,1,Scientific Literature,Bioorg Med Chem Lett,2012.0,CHEMBL3308072,,0,Cc1nn(-c2ccccc2)nc1C(=O)N[C@@H]1COc2cccc(-c3ccncc3)c2C1,-3.59999981394342,411.46500000000015,3.371220000000002
CHEMBL4475317,,,514.63,1.0,3.09,6,COc1cc(C(=O)N2C[C@@H](n3cc(C4CC4)nn3)C[C@H]2C(=O)N2CC[C@H](c3ccccc3)C2)ccc1CN,IC50,'=',14000.0,nM,4.85,,,UO_0000065,9.43,0.17,1.76,4.55,0,CHEMBL4427809,Displacement of [3H]-dofetilide from human ERG expressed in HEK293 cells measured after 90 mins by scintillation proximity assay,B,BAO_0000219,cell-based format,Homo sapiens,,,HEK293,,,,,CHEMBL240,HERG,Homo sapiens,SINGLE PROTEIN,CHEMBL4425182,1,Scientific Literature,Bioorg Med Chem Lett,2016.0,CHEMBL3307715,,0,COc1cc(C(=O)N2C[C@@H](n3cc(C4CC4)nn3)C[C@H]2C(=O)N2CC[C@H](c3ccccc3)C2)ccc1CN,-4.146128035678238,514.6300000000003,3.0947000000000013
CHEMBL4218132,,,584.49,2.0,5.53,43,COc1cc([C@H](c2cc3cc(Br)ccc3nc2OC)[C@@](O)(CCN(C)C)c2cccc(F)c2)cnc1OC,IC50,'=',1900.0,nM,5.72,,,UO_0000065,9.79,0.21,0.19,7.44,0,CHEMBL4181645,Inhibition of human ERG,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL240,HERG,Homo sapiens,SINGLE PROTEIN,CHEMBL4177672,1,Scientific Literature,Bioorg Med Chem Lett,2017.0,,,0,COc1cc([C@H](c2cc3cc(Br)ccc3nc2OC)[C@@](O)(CCN(C)C)c2cccc(F)c2)cnc1OC,-3.278753600952829,584.4860000000002,5.528600000000006
CHEMBL552373,,,366.39,0.0,3.07,36,N#Cc1cccc(N2CCN(CCN3CCC(C(F)(F)F)CC3)C2=O)c1,IC50,'=',7943.28,nM,5.1,,,UO_0000065,13.92,0.27,2.03,10.08,0,CHEMBL1057876,Displacement of [3H]dofetilide from human ERG channel by scintillation proximity assay,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL240,HERG,Homo sapiens,SINGLE PROTEIN,CHEMBL1152393,1,Scientific Literature,Bioorg Med Chem Lett,2009.0,,,0,N#Cc1cccc(N2CCN(CCN3CCC(C(F)(F)F)CC3)C2=O)c1,-3.899999871665804,366.38700000000006,3.074580000000002
CHEMBL4794465,,,446.94,1.0,5.19,3,CNc1nc(Nc2ccc(-n3cnc(Cl)c3)c(OC)c2)nc2c1CC[C@H]2c1ccccc1,IC50,'=',200.0,nM,6.7,,,UO_0000065,14.99,0.29,1.51,8.71,0,CHEMBL4700775,Inhibition of human ERG by patch clamp method,B,BAO_0000019,assay format,Homo sapiens,,,,,,,,CHEMBL240,HERG,Homo sapiens,SINGLE PROTEIN,CHEMBL4699441,1,Scientific Literature,ACS Med Chem Lett,2019.0,,,0,CNc1nc(Nc2ccc(-n3cnc(Cl)c3)c(OC)c2)nc2c1CC[C@H]2c1ccccc1,-2.3010299956639813,446.9420000000002,5.187700000000004
CHEMBL4581278,,,439.52,0.0,3.76,6d,COc1ccc(-c2ccc3ncnc(-c4cccc(C(=O)N5CCN(C)CC5)c4)c3c2)cn1,IC50,'=',12000.0,nM,4.92,,,UO_0000065,11.2,0.2,1.16,6.89,0,CHEMBL4430051,Displacement of [3H]dofetilide from recombinant human ERG transfected in HEK293 cell membranes after 60 mins by scintillation counting,B,BAO_0000219,cell-based format,Homo sapiens,,,HEK293,,,,,CHEMBL240,HERG,Homo sapiens,SINGLE PROTEIN,CHEMBL4428080,1,Scientific Literature,ACS Med Chem Lett,2016.0,CHEMBL3307715,,0,COc1ccc(-c2ccc3ncnc(-c4cccc(C(=O)N5CCN(C)CC5)c4)c3c2)cn1,-4.079181246047625,439.5190000000003,3.7550000000000026
CHEMBL1257337,,,491.58,1.0,5.69,43,Cc1ncoc1-c1nnc(SCCCN2[C@@H]3CC[C@H]2C[C@@H](c2cccc(C(F)(F)F)c2)C3)n1C,IC50,'=',501.19,nM,6.3,,,UO_0000065,12.82,0.25,0.61,10.5,0,CHEMBL1261450,Displacement of [3H]-dofetilide from human ERG by scintillation proximity assay,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL240,HERG,Homo sapiens,SINGLE PROTEIN,CHEMBL1255216,1,Scientific Literature,J Med Chem,2010.0,,,0,Cc1ncoc1-c1nnc(SCCCN2[C@@H]3CC[C@H]2C[C@@H](c2cccc(C(F)(F)F)c2)C3)n1C,-2.7000023971422538,491.5830000000002,5.690120000000006
CHEMBL4162513,,,514.67,2.0,6.74,10,CC#Cc1ccc2nc(OC)c(C(c3ccccc3)C(O)(CCN(C)C)c3cccc4ccccc34)cc2c1,IC50,'=',7900.0,nM,5.1,,,UO_0000065,9.91,0.18,-1.64,11.19,0,CHEMBL4135532,Inhibition of human ERG,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL240,HERG,Homo sapiens,SINGLE PROTEIN,CHEMBL4130520,1,Scientific Literature,ACS Med Chem Lett,2017.0,,,0,CC#Cc1ccc2nc(OC)c(C(c3ccccc3)C(O)(CCN(C)C)c3cccc4ccccc34)cc2c1,-3.8976270912904414,514.6690000000003,6.739400000000007
CHEMBL4537540,,,199.21,0.0,2.84,19a,Cc1c(C(=O)CC#N)oc2ccccc12,IC50,'=',30.0,nM,7.52,,,UO_0000065,37.76,0.68,4.68,13.93,0,CHEMBL4313152,Inhibition of human ERG by patch-clamp method,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL240,HERG,Homo sapiens,SINGLE PROTEIN,CHEMBL4311952,1,Scientific Literature,J Med Chem,2019.0,,,0,Cc1c(C(=O)CC#N)oc2ccccc12,-1.4771212547196624,199.209,2.837600000000001
CHEMBL565075,,,347.89,0.0,3.7,11,O=C1N(CCN2C[C@H]3CC[C@H](CC3)C2)CCN1c1cccc(Cl)c1,IC50,'=',398.11,nM,6.4,,,UO_0000065,18.4,0.36,2.7,23.89,1,CHEMBL1059865,Displacement of [3H]dofetilide from human ERG channel by scintillation proximity assay,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL240,HERG,Homo sapiens,SINGLE PROTEIN,CHEMBL1153053,1,Scientific Literature,Bioorg Med Chem Lett,2009.0,,,0,O=C1N(CCN2C[C@H]3CC[C@H](CC3)C2)CCN1c1cccc(Cl)c1,-2.60000308662774,347.89,3.7040000000000015
CHEMBL1834757,,,326.4,0.0,1.79,3,Cc1cccc(Nc2nc(N[C@@H]3CCCNC3)ncc2C(N)=O)c1,IC50,'=',2511.89,nM,5.6,,,UO_0000065,17.16,0.32,3.81,5.34,0,CHEMBL1838283,Inhibition of human ERG expressed in CHO-K1 cells after 2 hrs by Cy3b-Dofetilide-based fluorescence polarisation assay,B,BAO_0000219,cell-based format,Homo sapiens,,,CHO-K1,,,,,CHEMBL240,HERG,Homo sapiens,SINGLE PROTEIN,CHEMBL1833860,1,Scientific Literature,Bioorg Med Chem Lett,2011.0,CHEMBL3307512,,0,Cc1cccc(Nc2nc(N[C@@H]3CCCNC3)ncc2C(N)=O)c1,-3.40000061697638,326.4040000000001,1.7914199999999996
CHEMBL368895,,,539.64,2.0,5.65,8f,CN(C)CCCn1nc(C2=C(c3cn(-c4ccc5ccccc5c4)c4ccccc34)C(=O)NC2=O)c2ccccc21,IC50,'=',28.0,nM,7.55,,,UO_0000065,14.0,0.25,1.9,10.47,0,CHEMBL827917,Inhibition of Potassium channel HERG,B,BAO_0000357,single protein format,,,,,,,,,CHEMBL240,HERG,Homo sapiens,SINGLE PROTEIN,CHEMBL1142718,1,Scientific Literature,J Med Chem,2005.0,,,0,CN(C)CCCn1nc(C2=C(c3cn(-c4ccc5ccccc5c4)c4ccccc34)C(=O)NC2=O)c2ccccc21,-1.4471580313422192,539.6390000000002,5.652300000000005
CHEMBL5087069,,,392.46,0.0,3.39,28,CNC(=O)c1c(-c2ccccc2)oc2ccc(O)c(CN3CCC4(COC4)C3)c12,IC50,'=',3900.0,nM,5.41,,,UO_0000065,13.78,0.25,2.02,7.22,0,CHEMBL5038061,Inhibition of hERG ion channel by Q patch-clamp method,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL240,HERG,Homo sapiens,SINGLE PROTEIN,CHEMBL5036355,1,Scientific Literature,J Med Chem,2022.0,,,0,CNC(=O)c1c(-c2ccccc2)oc2ccc(O)c(CN3CCC4(COC4)C3)c12,-3.591064607026499,392.4550000000003,3.3873000000000024
CHEMBL4870834,,,459.38,0.0,4.28,19,Cc1cc(C(=O)Nc2cncc(-c3cc(Cl)cc(Cl)c3)c2N2CCC(N)CC2)n(C)n1,IC50,'=',4900.0,nM,5.31,,,UO_0000065,11.56,0.23,1.03,5.96,0,CHEMBL4841563,Inhibition of human ERG expressed in CHO-K1 cells with holding potential -80 mV incubated for 5 mins by patch-clamp assay,B,BAO_0000219,cell-based format,Homo sapiens,,,CHO-K1,,,,,CHEMBL240,HERG,Homo sapiens,SINGLE PROTEIN,CHEMBL4840347,1,Scientific Literature,Bioorg Med Chem,2021.0,,TIME = 0.08333 hr,0,Cc1cc(C(=O)Nc2cncc(-c3cc(Cl)cc(Cl)c3)c2N2CCC(N)CC2)n(C)n1,-3.690196080028514,459.38100000000026,4.277120000000003
CHEMBL2059311,,,406.49,0.0,2.78,9,O=C1COc2ccccc2N1CCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1,IC50,'=',6600.0,nM,5.18,,,UO_0000065,12.74,0.24,2.4,7.34,0,CHEMBL2060137,Inhibition of human ERG expressed in CHO cells after 30 mins by Rb+ flux assay,B,BAO_0000219,cell-based format,Homo sapiens,,,CHO,,,,,CHEMBL240,HERG,Homo sapiens,SINGLE PROTEIN,CHEMBL2057071,1,Scientific Literature,Bioorg Med Chem Lett,2012.0,CHEMBL3308072,,0,O=C1COc2ccccc2N1CCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1,-3.8195439355418688,406.4860000000001,2.7822000000000005
CHEMBL401576,,,501.58,2.0,5.53,21,Cc1noc2cc3c(cc12)CCN(CCCSc1nnc(-c2ccc(C(F)(F)F)cc2)n1C)CC3,IC50,'=',125.89,nM,6.9,,,UO_0000065,13.76,0.27,1.37,11.5,0,CHEMBL948183,Displacement of [3H]Dofetilide from human ERG,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL240,HERG,Homo sapiens,SINGLE PROTEIN,CHEMBL1142271,1,Scientific Literature,Bioorg Med Chem Lett,2008.0,,,0,Cc1noc2cc3c(cc12)CCN(CCCSc1nnc(-c2ccc(C(F)(F)F)cc2)n1C)CC3,-2.0999912335446846,501.57800000000015,5.533520000000005
CHEMBL4763134,,,667.62,2.0,6.47,15,C[C@H]1C[C@H](C(=O)O)CC[C@H]1C(=O)N1CC[C@@]2(S(=O)(=O)c3ccccc3)c3cc(F)c(C(F)(C(F)(F)F)C(F)(F)F)cc3CC[C@@H]12,IC50,'=',18000.0,nM,4.75,,,UO_0000065,7.11,0.14,-1.73,5.17,0,CHEMBL4701598,Inhibition of human ERG by patch clamp assay,B,BAO_0000019,assay format,Homo sapiens,,,,,,,,CHEMBL240,HERG,Homo sapiens,SINGLE PROTEIN,CHEMBL4699477,1,Scientific Literature,Bioorg Med Chem Lett,2020.0,,,0,C[C@H]1C[C@H](C(=O)O)CC[C@H]1C(=O)N1CC[C@@]2(S(=O)(=O)c3ccccc3)c3cc(F)c(C(F)(C(F)(F)F)C(F)(F)F)cc3CC[C@@H]12,-4.2552725051033065,667.6150000000001,6.468400000000006
CHEMBL4794487,,,389.45,0.0,4.15,8g,O=C(NC1CCN(C2CCCCC2)CC1)c1cc(-c2ccc(F)cc2F)on1,IC50,'=',1500.0,nM,5.82,,,UO_0000065,14.95,0.28,1.67,9.98,0,CHEMBL4706357,Inhibition of human ERG expressed in CHO cells at -40 mV holding potential by Q-patch clamp assay,B,BAO_0000219,cell-based format,Homo sapiens,,,CHO,,,,,CHEMBL240,HERG,Homo sapiens,SINGLE PROTEIN,CHEMBL4699667,1,Scientific Literature,J Med Chem,2020.0,,,0,O=C(NC1CCN(C2CCCCC2)CC1)c1cc(-c2ccc(F)cc2F)on1,-3.1760912590556813,389.446,4.146700000000004
CHEMBL1823046,,,368.48,0.0,1.75,sto11n,N#Cc1ccc(OC2CNC(C(=O)N3CCCN(C4CCC4)CC3)C2)cc1,IC50,'=',10000.0,nM,5.0,,,UO_0000065,13.57,0.25,3.25,7.29,0,CHEMBL1827362,Displacement of [3H]dofetilide from human recombinant ERG by Competitive binding assay,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL240,HERG,Homo sapiens,SINGLE PROTEIN,CHEMBL1821550,1,Scientific Literature,Bioorg Med Chem Lett,2011.0,,,0,N#Cc1ccc(OC2CNC(C(=O)N3CCCN(C4CCC4)CC3)C2)cc1,-4.0,368.4810000000002,1.7543799999999992
CHEMBL2147225,,,476.46,0.0,3.86,17,COc1ccc(CCNC(=O)c2ccc(OCCC(F)(F)F)nc2)c(-c2cnc(OC)nc2)c1,IC50,'=',6309.57,nM,5.2,,,UO_0000065,10.91,0.21,1.34,5.45,0,CHEMBL2149459,Inhibition of human ERG channel by whole cell voltage-clamp electrophysiology assay,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL240,HERG,Homo sapiens,SINGLE PROTEIN,CHEMBL2146409,1,Scientific Literature,Bioorg Med Chem Lett,2012.0,,,0,COc1ccc(CCNC(=O)c2ccc(OCCC(F)(F)F)nc2)c(-c2cnc(OC)nc2)c1,-3.799999762890647,476.4550000000001,3.8595000000000015
CHEMBL1813044,,,474.61,1.0,5.19,48,CC(=O)Nc1cccc(Nc2ncnc(N3CCC(OCc4ccc(C(C)C)cc4)CC3)n2)c1C,IC50,'=',440.0,nM,6.36,,,UO_0000065,13.39,0.25,1.17,6.89,0,CHEMBL1816132,Inhibition of human Erg expressed in human HEK293 cells by patch-clamp electrophysiological assay,B,BAO_0000219,cell-based format,Homo sapiens,,,HEK293,,,,,CHEMBL240,HERG,Homo sapiens,SINGLE PROTEIN,CHEMBL1811851,1,Scientific Literature,J Med Chem,2011.0,CHEMBL3307715,,0,CC(=O)Nc1cccc(Nc2ncnc(N3CCC(OCc4ccc(C(C)C)cc4)CC3)n2)c1C,-2.6434526764861874,474.60900000000026,5.191020000000005
CHEMBL3990823,,,322.38,1.0,0.99,24a,N=C(N)N/N=C/c1ccc(-c2cccc(/C=N/NC(=N)N)c2)cc1,IC50,'=',4660.0,nM,5.33,,,UO_0000065,16.54,0.3,4.34,3.59,0,CHEMBL4413347,Inhibition of [3H]-dofetilide binding to human ERG expressed in HEK293 cell membranes measured after 1 hr by liquid scintillation counting method,B,BAO_0000219,cell-based format,Homo sapiens,,,HEK293,,,,,CHEMBL240,HERG,Homo sapiens,SINGLE PROTEIN,CHEMBL4411307,1,Scientific Literature,Eur J Med Chem,2019.0,CHEMBL3307715,,0,N=C(N)N/N=C/c1ccc(-c2cccc(/C=N/NC(=N)N)c2)cc1,-3.66838591669,322.37600000000003,0.9875400000000004
CHEMBL1258279,,,342.48,0.0,3.74,6o,NC(=O)c1cccc(O[C@@H]2C[C@H]3CC[C@@H](C2)N3CC2CCCCC2)c1,IC50,'=',2.0,nM,8.7,,,UO_0000065,25.4,0.48,4.96,15.66,0,CHEMBL1259359,Inhibition of human ERG,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL240,HERG,Homo sapiens,SINGLE PROTEIN,CHEMBL1255514,1,Scientific Literature,Bioorg Med Chem Lett,2010.0,,,0,NC(=O)c1cccc(O[C@@H]2C[C@H]3CC[C@@H](C2)N3CC2CCCCC2)c1,-0.3010299956639812,342.4830000000001,3.740000000000003
CHEMBL5078863,,,309.29,0.0,2.92,23,O=C1c2nc3cccc(C(F)(F)F)c3n2CCN1CC1CC1,IC50,'=',30000.0,nM,4.52,,,UO_0000065,14.62,0.28,1.6,11.86,0,CHEMBL5034164,Inhibition of human ERG by patch clamp electrophysiology assay,B,BAO_0000019,assay format,Homo sapiens,,,,,,,,CHEMBL240,HERG,Homo sapiens,SINGLE PROTEIN,CHEMBL5033994,1,Scientific Literature,J Med Chem,2021.0,,,0,O=C1c2nc3cccc(C(F)(F)F)c3n2CCN1CC1CC1,-4.477121254719663,309.29100000000005,2.9209000000000014
CHEMBL1258153,,,477.56,0.0,4.99,23,Cc1ncoc1-c1nnc(SCCCN[C@H]2CC[C@]3(c4ccc(C(F)(F)F)cc4)CC23)n1C,IC50,'=',2511.89,nM,5.6,,,UO_0000065,11.73,0.23,0.61,8.14,0,CHEMBL1261450,Displacement of [3H]-dofetilide from human ERG by scintillation proximity assay,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL240,HERG,Homo sapiens,SINGLE PROTEIN,CHEMBL1255216,1,Scientific Literature,J Med Chem,2010.0,,,0,Cc1ncoc1-c1nnc(SCCCN[C@H]2CC[C@]3(c4ccc(C(F)(F)F)cc4)CC23)n1C,-3.40000061697638,477.55600000000015,4.989420000000004
CHEMBL479036,,,391.52,0.0,4.37,nag16c,CC(C)c1nc2ccccc2c(=O)n1-c1ccc(OCCCN2CCCC2)cc1,IC50,'=',3900.0,nM,5.41,,,UO_0000065,13.82,0.25,1.04,11.42,0,CHEMBL1827362,Displacement of [3H]dofetilide from human recombinant ERG by Competitive binding assay,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL240,HERG,Homo sapiens,SINGLE PROTEIN,CHEMBL1821550,1,Scientific Literature,Bioorg Med Chem Lett,2011.0,,,0,CC(C)c1nc2ccccc2c(=O)n1-c1ccc(OCCCN2CCCC2)cc1,-3.591064607026499,391.5150000000002,4.373800000000005
CHEMBL491679,,,510.07,1.0,5.03,"11a, diastereomers",Cc1nnc(C(C)C)n1C1CCN(C(C)C[C@H](NC(=O)C2CC(F)(F)C2)c2ccccc2)CC1,IC50,'=',2300.0,nM,5.64,,,UO_0000065,11.9,0.23,0.61,8.94,0,CHEMBL1019465,Displacement of [3H]dofetilide from human ERG expressed in HEK293 cells,B,BAO_0000219,cell-based format,Homo sapiens,,,HEK293,,,,,CHEMBL240,HERG,Homo sapiens,SINGLE PROTEIN,CHEMBL1152883,1,Scientific Literature,Bioorg Med Chem Lett,2009.0,CHEMBL3307715,,0,Cc1nnc(C(C)C)n1C1CCN(C(C)C[C@H](NC(=O)C2CC(F)(F)C2)c2ccccc2)CC1,-3.361727836017593,473.61200000000025,5.028220000000005
CHEMBL456173,,,307.35,0.0,2.52,9b,CC(C)NC(=O)c1cn(-c2ccccc2)c2ncccc2c1=O,IC50,'=',71500.0,nM,4.15,,,UO_0000065,13.49,0.25,1.63,6.48,0,CHEMBL984535,Displacement of [35S]MK-499 from human ERG expressed in HEK293 cells,B,BAO_0000219,cell-based format,Homo sapiens,,,HEK293,,,,,CHEMBL240,HERG,Homo sapiens,SINGLE PROTEIN,CHEMBL1142499,1,Scientific Literature,Bioorg Med Chem Lett,2008.0,CHEMBL3307715,,0,CC(C)NC(=O)c1cn(-c2ccccc2)c2ncccc2c1=O,-4.854306041801081,307.35300000000007,2.5239000000000003
CHEMBL4877500,,,564.5,1.0,4.22,27,CC(=O)N1Cc2cc(S(=O)(=O)CC3CC3)ccc2C1C(=O)Nc1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1,IC50,'=',18000.0,nM,4.75,,,UO_0000065,8.41,0.17,0.52,4.57,0,CHEMBL4833086,Inhibition of human ERG,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL240,HERG,Homo sapiens,SINGLE PROTEIN,CHEMBL4831524,1,Scientific Literature,J Med Chem,2021.0,,,0,CC(=O)N1Cc2cc(S(=O)(=O)CC3CC3)ccc2C1C(=O)Nc1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1,-4.2552725051033065,564.5040000000001,4.224400000000003
CHEMBL429760,,,457.53,1.0,5.03,22,Cc1ccc(Oc2ccc(Nc3ncnc4cccc(O[C@@H](C)C(=O)N(C)C)c34)cc2C)cn1,IC50,'=',11000.0,nM,4.96,,,UO_0000065,10.84,0.2,-0.07,5.54,0,CHEMBL930660,Inhibition of human ERG,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL240,HERG,Homo sapiens,SINGLE PROTEIN,CHEMBL1141561,1,Scientific Literature,Bioorg Med Chem Lett,2008.0,,,0,Cc1ccc(Oc2ccc(Nc3ncnc4cccc(O[C@@H](C)C(=O)N(C)C)c34)cc2C)cn1,-4.041392685158225,457.5340000000003,5.033040000000003
CHEMBL4634636,,,332.35,0.0,2.82,31,NC(=O)[C@@H]1CC[C@H](c2ccc(OCc3ccccc3F)cc2F)N1,IC50,'=',12589.25,nM,4.9,,,UO_0000065,14.74,0.28,2.08,7.61,0,CHEMBL4627218,Inhibition of human ERG,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL240,HERG,Homo sapiens,SINGLE PROTEIN,CHEMBL4622996,1,Scientific Literature,ACS Med Chem Lett,2020.0,,,0,NC(=O)[C@@H]1CC[C@H](c2ccc(OCc3ccccc3F)cc2F)N1,-4.099999857942367,332.35,2.8222000000000005
CHEMBL4094016,,,397.87,1.0,5.18,24,CN(C/C=C/c1ccc(C(F)(F)F)cc1)Cc1ccc2c(c1)OCCC2,IC50,'=',2900.0,nM,5.54,,,UO_0000065,15.32,0.29,0.36,44.41,0,CHEMBL4019656,Inhibition of human ERG expressed in CHO cells after 3 mins at -80 mV holding potential by automated patch clamp method,B,BAO_0000219,cell-based format,Homo sapiens,,,,,,,,CHEMBL240,HERG,Homo sapiens,SINGLE PROTEIN,CHEMBL4017515,1,Scientific Literature,J Med Chem,2017.0,,,0,CN(C/C=C/c1ccc(C(F)(F)F)cc1)Cc1ccc2c(c1)OCCC2,-3.462397997898956,361.40700000000015,5.175600000000005
CHEMBL2409409,,,451.55,0.0,4.52,33,COc1cc2nnc(C(N)=O)c(Nc3ccc(C)cc3F)c2cc1C1CCN(C(C)C)CC1,IC50,'=',11000.0,nM,4.96,,,UO_0000065,10.98,0.21,0.44,5.31,0,CHEMBL2411831,Inhibition of human ERG,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL240,HERG,Homo sapiens,SINGLE PROTEIN,CHEMBL2406904,1,Scientific Literature,Bioorg Med Chem Lett,2013.0,,,0,COc1cc2nnc(C(N)=O)c(Nc3ccc(C)cc3F)c2cc1C1CCN(C(C)C)CC1,-4.041392685158225,451.5460000000003,4.516220000000004
